	B.I	BY.I	B.C	BY.C	B.C	B.I	BY.I	BY.C	BY.C	B.C	BY.I	B.I	B.I	BY.I	BY.C	B.C
ILMN_2667614	3728.71325	3834.3006875	2781.58875	2770.389	3049.8525625	3901.5434375	4100.9669375	2963.303625	2968.9675625	2881.650875	3624.416875	4137.6650625	4048.0388125	3682.3524375	2907.421375	3144.962875
ILMN_1213681	1597.03825	1808.6184375	2007.6768125	2510.9436875	1825.6773125	1691.932625	1793.433875	2201.56525	1968.7001875	1753.9889375	1937.256125	1675.8665625	1988.0516875	2013.110125	2476.998875	1723.53475
ILMN_1258501	547.767775	421.78673125	506.4152125	480.16580625	608.020025	428.2162625	366.8749875	409.6476375	541.213475	426.63545	279.0067375	392.08263125	361.06348125	424.62724375	407.82223125	331.1162875
ILMN_1247543	7228.3994375	6900.494375	9065.637	7790.514875	11408.793	7790.514875	6843.291125	8098.043625	7724.063375	8994.49525	7110.6441875	7110.6441875	7411.148625	7332.76175	7790.514875	9065.637
ILMN_2901283	1047.83524375	1001.36695	964.61938125	943.18929375	857.74695625	970.23390625	1096.2395125	960.96005	976.8693625	941.899225	1159.0100875	939.87478125	1044.1645625	1040.3397625	934.93573125	896.56195625
ILMN_2956932	22662.46875	22662.46875	21883.9125	18866.55375	19253.191875	21368.33875	21883.9125	19803.4675	18650.413125	19803.4675	20157.430625	21368.33875	21368.33875	21883.9125	18866.55375	17990.79625
ILMN_2687828	203.36625	207.70706875	225.768425	248.3792375	211.3284125	227.120325	161.68011875	231.4094625	241.740075	208.02386875	215.532425	207.45166875	221.5099	176.99835	244.12235625	194.2015
ILMN_2620767	106.381176875	102.045950625	128.63870625	114.37780875	108.84136875	95.8401	97.0434975	110.222861875	115.1817375	143.9201875	119.7339625	111.549485	103.1318525	112.680161875	126.7113625	138.10944375
ILMN_2623886	926.7802875	1061.20106875	975.55876875	1290.79334375	1259.73734375	921.2737875	1011.060025	1259.73734375	1115.814175	980.6937	991.49634375	948.13583125	1029.641025	937.8576625	1101.2866	939.87478125
ILMN_2590350	742.81638125	804.60284375	610.22988125	624.54245	681.12016875	661.9242375	799.0163375	667.346975	665.2559875	722.33518125	711.26331875	716.28623125	656.59380625	729.4838	637.1031	601.77260625
ILMN_2787785	137.35951875	133.76694375	118.85425125	114.710489375	122.50006875	126.2334375	165.03119375	116.82452	108.59527	138.33310625	110.925168125	139.53805	118.544265	119.43970125	119.7339625	120.324115625
ILMN_2427869	382.0394125	404.7403875	445.23834375	574.1261625	526.3651125	399.899675	371.001275	503.5053625	514.343425	469.40995625	405.7067375	402.7885	395.5918375	391.4559875	526.3651125	409.2603125
ILMN_2594872	146.47023125	142.66521875	166.7155	129.55834375	153.695975	150.51230625	163.813025	145.03638125	129.20803125	165.765375	162.6555875	151.9914375	166.7155	187.17769375	136.3262875	164.552225
ILMN_2678495	268.74179375	239.3336125	206.018925	300.83779375	145.3389	237.7202375	271.68064375	274.07449375	280.7798125	200.89800625	278.67450625	243.86538125	165.03119375	320.36241875	263.91614375	142.9232375
ILMN_1252437	3367.8920625	2809.6363125	3353.5210625	3064.3103125	2657.9415625	3508.3631875	2928.994125	2907.421375	2939.1021875	2710.1726875	3092.283875	3862.5035625	2809.6363125	3081.9745625	2850.1111875	2624.439625
ILMN_2648742	2850.1111875	2985.4025	3041.47075	2468.7893125	2939.1021875	3092.283875	3064.3103125	2476.998875	2369.0618125	2874.069125	2568.4504375	3007.439625	2864.5063125	2481.5916875	2468.7893125	3041.47075
ILMN_2897476	2816.5711875	2541.381	2608.4428125	2613.0956875	2369.0618125	2758.6666875	2657.9415625	2432.0701875	2258.226875	2264.731375	2574.93875	2448.833375	2468.7893125	2593.7214375	2568.4504375	2172.82875
ILMN_1239221	188.33473125	183.22048125	158.3846375	193.5339875	197.0282375	191.1588375	204.4481	171.38676875	166.49685	164.74565625	192.6032125	179.673275	174.29655	181.23368125	169.34339375	177.622125
ILMN_2712675	368.69168125	373.30499375	329.3921125	426.13363125	321.82924375	335.58544375	329.3921125	330.25861875	352.044	325.01405625	388.29455	336.88030625	305.29793125	370.48145625	395.5918375	338.47830625
